"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","dimanche",3581.40538796313
"2","member","dimanche",919.974616087922
"3","casual","lundi",3372.28692301735
"4","member","lundi",842.572569441503
"5","casual","mardi",3596.35994917689
"6","member","mardi",826.142747003117
"7","casual","mercredi",3718.66189688179
"8","member","mercredi",823.999644234094
"9","casual","jeudi",3682.98467067268
"10","member","jeudi",823.92780326203
"11","casual","vendredi",3773.83511159766
"12","member","vendredi",824.530506415778
